Date,Height,Weight,Gender
2020/1/01',174,96,F
2020/1/02',189,87,F
2020/1/03',185,,M
2020/1/04',195,104,M
,149,61,M
2020/1/06',189,104,F
2020/1/07',147,92,M
2020/1/08',154,,F
2020/1/09',174,90,F
20200110,1011,103,M
2020/1/11',195,81,M
2020/1/12',159,,M
2020/1/13',192,101,M
2020/1/14',155,51,F
2020/1/15',191,79,F
2020/1/16',153,107,M
2020/1/17',157,110,M
2020/1/18',140,129,M
2020/1/19',144,145,F
2020/1/20',172,139,M
2020/1/21',157,110,F
2020/1/22',153,149,M
2020/1/23',169,97,M
2020/1/24',185,139,F
2020/1/25',172,67,F
2020/1/26',151,64,F
2020/1/27',190,95,F
2020/1/28',187,62,M
2020/1/29',163,159,M
2020/1/30',179,152,M
2020/1/30',179,152,M
